id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,latitude,longitude,cluster
13441843,739,2024-04-27 00:00:00,840,18,2,29,6,False,True,232,19,20,71,9,0,2024-05-04 15:52:16,41.707930077,-87.65258979,1
13442422,843,2024-04-27 00:00:00,792,32,3,45,56,False,False,42,3,6,44,5,0,2024-05-04 15:52:16,41.747853891,-87.550400309,1
13442767,857,2024-04-27 00:00:00,720,18,2,29,56,False,True,82,6,16,65,9,0,2024-05-04 15:52:16,41.768213543,-87.673617146,1
13442556,838,2024-04-27 00:00:00,42,38,21,40,8,False,False,141,11,26,26,6,0,2024-05-04 15:52:16,41.885855984,-87.656815142,0
13446488,966,2024-04-27 00:00:00,189,94,15,83,6,False,False,195,16,26,7,8,0,2024-05-04 15:52:16,41.907153315,-87.639680572,2
13442092,763,2024-04-27 00:00:00,33,5,18,12,26,False,False,1,0,33,30,2,0,2024-05-04 15:52:16,41.879937206,-87.627721268,1
13443751,887,2024-04-27 00:00:00,794,22,1,2,44,False,True,66,5,7,42,3,0,2024-05-04 15:52:16,41.745394001,-87.600163368,2
13443611,872,2024-04-27 00:00:00,685,94,15,83,6,False,True,26,2,19,40,8,0,2024-05-04 15:52:16,41.777910175,-87.609527011,2
13442719,823,2024-04-27 00:00:00,220,57,5,89,6,False,False,162,12,0,22,13,0,2024-05-04 15:52:16,41.909464471,-87.66522133,1
13442169,791,2024-04-27 00:00:00,369,57,5,89,22,False,False,235,20,49,1,13,0,2024-05-04 15:52:16,42.012052466,-87.700312607,1
13444288,910,2024-04-27 00:00:00,272,57,5,89,53,False,False,7,0,2,31,13,0,2024-05-04 15:52:16,41.856172527,-87.625574567,1
13441862,747,2024-04-26 23:58:00,244,21,2,1,6,False,True,238,20,48,0,4,0,2024-05-04 15:52:16,42.022526311,-87.672437356,1
13441913,746,2024-04-26 23:58:00,376,13,2,3,44,False,False,152,12,34,19,9,0,2024-05-04 15:52:16,41.934745632,-87.70382672,2
13441846,751,2024-04-26 23:55:00,706,18,2,29,44,True,True,29,2,5,40,9,0,2024-05-04 15:52:16,41.772249916,-87.610591448,2
13441909,740,2024-04-26 23:50:00,39,18,2,29,5,False,True,140,11,26,26,9,0,2024-05-04 15:52:16,41.885988711,-87.648649938,1
13441852,736,2024-04-26 23:47:00,15,67,22,95,11,True,False,148,11,33,26,14,0,2024-05-04 15:52:16,41.881055345,-87.652011209,1
13441810,733,2024-04-26 23:42:00,481,70,22,76,5,False,False,257,21,25,21,14,0,2024-05-04 15:52:16,41.909920109,-87.723427962,1
13442834,754,2024-04-26 23:41:00,450,22,1,2,56,False,False,157,12,25,21,3,0,2024-05-04 15:52:16,41.91000536,-87.715759913,1
13441919,744,2024-04-26 23:40:00,774,57,5,89,45,False,False,58,5,16,69,13,0,2024-05-04 15:52:16,41.754816016,-87.668407216,1
13441865,757,2024-04-26 23:30:00,610,7,18,11,56,False,False,103,8,13,61,2,0,2024-05-04 15:52:16,41.796896422,-87.689008266,1
13442011,768,2024-04-26 23:30:00,211,39,12,20,56,False,False,61,5,20,69,7,0,2024-05-04 15:52:16,41.737661048,-87.659874962,1
13446491,965,2024-04-26 23:30:00,74,47,8,26,44,False,False,202,16,41,7,11,0,2024-05-04 15:52:16,41.889202315,-87.617611457,2
13446473,964,2024-04-26 23:30:00,74,31,3,93,44,False,False,202,16,41,7,5,0,2024-05-04 15:52:16,41.889202315,-87.617611457,2
13447709,735,2024-04-26 23:28:00,384,93,11,48,11,True,False,248,21,30,17,19,0,2024-05-04 15:52:16,41.936441321,-87.746792978,1
13441893,743,2024-04-26 23:20:00,483,57,5,89,44,False,False,192,15,32,14,13,0,2024-05-04 15:52:16,41.952546058,-87.711643761,2
13441877,722,2024-04-26 23:18:00,833,18,2,29,44,False,True,49,4,8,47,9,0,2024-05-04 15:52:16,41.711933671,-87.624833412,2
13441937,741,2024-04-26 23:17:00,251,92,11,79,48,True,False,141,11,0,22,19,0,2024-05-04 15:52:16,41.896004023,-87.671385365,1
13441818,731,2024-04-26 23:15:00,294,18,2,29,44,True,True,227,19,18,73,9,0,2024-05-04 15:52:16,41.684868058,-87.674480238,2
13441826,721,2024-04-26 23:11:00,263,67,22,95,56,True,False,149,11,24,29,14,0,2024-05-04 15:52:16,41.857181658,-87.656405307,1
13441820,728,2024-04-26 23:10:00,807,18,2,29,6,False,True,60,5,16,69,9,0,2024-05-04 15:52:16,41.738914367,-87.644916273,1
13441921,726,2024-04-26 23:08:00,432,27,1,80,56,False,True,182,14,30,13,8,0,2024-05-04 15:52:16,41.942650115,-87.756814803,1
13442018,779,2024-04-26 23:06:00,331,70,22,76,56,False,False,118,9,24,28,14,0,2024-05-04 15:52:16,41.845638238,-87.707508645,1
13441805,723,2024-04-26 23:03:00,80,67,22,95,58,False,False,65,5,5,42,14,0,2024-05-04 15:52:16,41.751186289,-87.610846105,1
13441996,730,2024-04-26 23:01:00,728,57,5,89,6,False,True,82,6,16,65,13,0,2024-05-04 15:52:16,41.767836048,-87.672396676,1
13442441,841,2024-04-26 23:00:00,400,34,21,0,56,False,False,247,21,30,17,6,0,2024-05-04 15:52:16,41.937405514,-87.76277941,0
13441931,750,2024-04-26 23:00:00,517,5,18,12,6,False,False,127,10,27,24,2,0,2024-05-04 15:52:16,41.877882471,-87.733591923,1
13442081,797,2024-04-26 23:00:00,867,42,12,84,56,False,False,54,4,20,51,7,0,2024-05-04 15:52:16,41.68405787,-87.655499307,1
13441867,734,2024-04-26 22:55:00,314,18,2,29,44,False,True,113,9,21,28,9,0,2024-05-04 15:52:16,41.847305232,-87.720973109,2
13442186,776,2024-04-26 22:50:00,256,18,2,29,6,True,True,32,2,6,41,9,0,2024-05-04 15:52:16,41.764293597,-87.580162023,1
13442063,793,2024-04-26 22:50:00,795,34,21,0,56,False,False,96,7,17,68,6,0,2024-05-04 15:52:16,41.743024221,-87.70708068,0
13442046,788,2024-04-26 22:49:00,837,57,5,89,44,False,False,49,4,8,47,13,0,2024-05-04 15:52:16,41.710213488,-87.623581448,2
13441801,714,2024-04-26 22:45:00,742,58,5,92,53,False,False,32,2,7,41,13,0,2024-05-04 15:52:16,41.763968536,-87.590934926,1
13442384,844,2024-04-26 22:45:00,783,9,18,18,53,False,False,42,3,6,44,2,0,2024-05-04 15:52:16,41.751342079,-87.56137777,1
13441861,724,2024-04-26 22:37:00,328,10,2,2,56,False,False,113,9,21,28,4,0,2024-05-04 15:52:16,41.844809147,-87.731060261,1
13446462,956,2024-04-26 22:37:00,875,27,1,80,61,False,False,47,3,9,53,8,0,2024-05-04 15:52:16,41.677419239,-87.544921876,1
13441795,705,2024-04-26 22:37:00,730,22,1,2,56,False,False,235,20,49,1,3,0,2024-05-04 15:52:16,42.009651487,-87.697367028,1
13442828,717,2024-04-26 22:35:00,307,15,2,80,56,False,False,121,9,24,28,9,0,2024-05-04 15:52:16,41.849564124,-87.700287513,1
13441968,713,2024-04-26 22:35:00,593,15,2,80,53,False,False,103,8,13,61,9,0,2024-05-04 15:52:16,41.800054165,-87.69031161,1
13441802,706,2024-04-26 22:33:00,734,89,13,71,56,True,False,82,6,16,65,17,0,2024-05-04 15:52:16,41.765861094,-87.671130332,1
13441782,710,2024-04-26 22:33:00,145,37,21,61,48,False,False,145,11,26,26,6,0,2024-05-04 15:52:16,41.884249554,-87.650148454,0
13441917,720,2024-04-26 22:32:00,470,18,2,29,6,False,True,134,10,23,27,9,0,2024-05-04 15:52:16,41.869902199,-87.718543569,1
13441929,729,2024-04-26 22:30:00,39,15,2,80,11,False,False,140,11,26,26,9,0,2024-05-04 15:52:16,41.885931086,-87.648650553,1
13442158,806,2024-04-26 22:30:00,269,28,20,80,44,False,True,227,19,18,73,8,0,2024-05-04 15:52:16,41.689010771,-87.667598844,2
13444061,903,2024-04-26 22:30:00,0,23,1,4,6,False,True,55,4,8,47,3,0,2024-05-04 15:52:16,41.689873321,-87.62237719,1
13441863,711,2024-04-26 22:30:00,361,22,1,2,56,False,False,120,9,21,28,3,0,2024-05-04 15:52:16,41.840280765,-87.713458245,1
13441900,718,2024-04-26 22:29:00,370,32,3,45,44,False,False,153,12,34,19,5,0,2024-05-04 15:52:16,41.934398911,-87.714760195,2
13441873,759,2024-04-26 22:28:00,261,39,12,20,15,False,False,112,9,23,27,7,0,2024-05-04 15:52:16,41.855725091,-87.727268803,1
13445787,853,2024-04-26 22:21:00,424,107,15,47,20,False,False,211,17,43,5,21,0,2024-05-04 15:52:16,41.942949651,-87.653098613,2
13441933,716,2024-04-26 22:20:00,60,39,12,20,56,False,False,171,13,27,23,7,0,2024-05-04 15:52:16,41.886893085,-87.745509336,1
13442243,824,2024-04-26 22:20:00,523,57,5,89,54,False,False,102,8,11,56,13,0,2024-05-04 15:52:16,41.812809432,-87.704160069,0
13441828,703,2024-04-26 22:19:00,77,60,5,91,24,False,False,136,10,27,26,13,0,2024-05-04 15:52:16,41.875229772,-87.686253982,1
13446799,695,2024-04-26 22:17:00,24,22,1,2,31,False,False,30,2,5,67,3,0,2024-05-04 15:52:16,41.76559446,-87.621050648,1
13442244,825,2024-04-26 22:15:00,832,39,12,20,34,False,False,232,19,20,71,7,0,2024-05-04 15:52:16,41.713753878,-87.642987258,1
13441902,715,2024-04-26 22:15:00,147,12,2,6,56,False,False,145,11,33,26,4,0,2024-05-04 15:52:16,41.883078591,-87.651211195,1
13446195,954,2024-04-26 22:10:00,538,57,5,89,26,False,False,205,17,45,2,13,0,2024-05-04 15:52:16,41.966053999,-87.657890403,1
13441845,727,2024-04-26 22:10:00,245,22,1,2,56,False,False,24,1,4,39,3,0,2024-05-04 15:52:16,41.793424442,-87.583554214,1
13441840,699,2024-04-26 22:09:00,659,22,1,2,56,False,False,181,14,29,13,3,0,2024-05-04 15:52:16,41.943043588,-87.774792821,1
13441811,689,2024-04-26 22:07:00,24,67,22,95,31,True,False,30,2,5,67,14,0,2024-05-04 15:52:16,41.76559446,-87.621050648,1
13441854,738,2024-04-26 22:03:00,56,67,22,95,56,True,False,64,5,5,67,14,0,2024-05-04 15:52:16,41.752896614,-87.617522561,1
13442105,799,2024-04-26 22:00:00,286,33,21,60,44,False,True,58,5,17,69,6,0,2024-05-04 15:52:16,41.755667785,-87.675739396,2
13441804,708,2024-04-26 22:00:00,279,18,2,29,6,True,True,33,2,4,41,9,0,2024-05-04 15:52:16,41.773461272,-87.575835221,1
13442062,794,2024-04-26 22:00:00,661,58,5,92,6,False,False,24,1,19,40,13,0,2024-05-04 15:52:16,41.785122047,-87.60603224,1
13444457,921,2024-04-26 22:00:00,68,58,5,92,56,False,False,202,16,1,7,13,0,2024-05-04 15:52:16,41.893454941,-87.617020399,1
13442027,775,2024-04-26 22:00:00,207,34,21,0,60,False,False,234,19,20,73,6,0,2024-05-04 15:52:16,41.687522213,-87.657531474,0
13444085,777,2024-04-26 22:00:00,228,34,21,0,56,False,False,61,5,20,69,6,0,2024-05-04 15:52:16,41.737636656,-87.661333474,0
13441786,693,2024-04-26 22:00:00,201,33,21,60,56,False,False,196,16,26,7,6,0,2024-05-04 15:52:16,41.907730421,-87.649424249,0
13442035,789,2024-04-26 22:00:00,319,39,12,20,56,False,False,102,8,14,56,7,0,2024-05-04 15:52:16,41.815668798,-87.686343966,1
13444060,900,2024-04-26 22:00:00,314,34,21,0,6,False,False,113,9,21,28,6,0,2024-05-04 15:52:16,41.847305232,-87.720973109,0
13441789,700,2024-04-26 22:00:00,314,34,21,0,56,False,False,113,9,21,28,6,0,2024-05-04 15:52:16,41.84697039,-87.720965292,0
13443721,885,2024-04-26 22:00:00,263,18,2,29,14,False,True,149,11,24,29,9,0,2024-05-04 15:52:16,41.856432328,-87.656380172,1
13441770,694,2024-04-26 21:58:00,686,67,22,95,56,False,False,26,2,19,40,14,0,2024-05-04 15:52:16,41.777783389,-87.615563072,1
13441822,692,2024-04-26 21:53:00,694,22,1,2,56,False,False,93,7,13,64,3,0,2024-05-04 15:52:16,41.774742758,-87.703040153,1
13441772,691,2024-04-26 21:51:00,76,87,13,68,60,True,False,202,16,41,7,17,0,2024-05-04 15:52:16,41.89036711,-87.626673634,1
13442313,688,2024-04-26 21:47:00,816,15,2,80,44,False,False,39,3,7,46,9,0,2024-05-04 15:52:16,41.729050495,-87.577954457,2
13441746,686,2024-04-26 21:46:00,326,57,5,89,48,False,False,122,9,23,28,13,0,2024-05-04 15:52:16,41.845180653,-87.69467511,1
13442538,812,2024-04-26 21:45:00,841,39,12,20,56,False,False,46,3,9,50,7,0,2024-05-04 15:52:16,41.70777821,-87.530436726,1
13442000,767,2024-04-26 21:45:00,845,70,22,76,5,False,False,50,4,8,47,14,0,2024-05-04 15:52:16,41.7066707,-87.617409325,1
13441815,707,2024-04-26 21:44:00,175,90,13,70,56,True,False,255,21,36,23,17,0,2024-05-04 15:52:16,41.903514653,-87.745985057,1
13447957,969,2024-04-26 21:41:00,335,36,21,78,54,False,False,217,17,42,6,6,0,2024-05-04 15:52:16,41.930906002,-87.644017035,0
13442332,832,2024-04-26 21:36:00,662,57,5,89,6,False,False,27,2,19,40,13,0,2024-05-04 15:52:16,41.784956252,-87.613257416,1
13447915,968,2024-04-26 21:34:00,335,36,21,78,54,False,False,217,17,42,6,6,0,2024-05-04 15:52:16,41.930906002,-87.644017035,0
13442293,814,2024-04-26 21:30:00,877,58,5,92,56,False,False,53,4,8,51,13,0,2024-05-04 15:52:16,41.673689531,-87.628543613,1
13441803,732,2024-04-26 21:30:00,869,11,2,4,44,False,False,54,4,20,51,4,0,2024-05-04 15:52:16,41.682385598,-87.653012854,2
13442279,818,2024-04-26 21:30:00,358,18,2,29,44,False,True,247,21,29,17,9,0,2024-05-04 15:52:16,41.932054318,-87.771132776,2
13442182,719,2024-04-26 21:30:00,297,18,2,29,6,False,True,33,2,4,41,9,0,2024-05-04 15:52:16,41.767117139,-87.570957589,1
13441835,698,2024-04-26 21:30:00,723,39,12,20,56,False,False,30,2,5,67,7,0,2024-05-04 15:52:16,41.768521613,-87.621773406,1
13441766,704,2024-04-26 21:30:00,765,27,1,80,6,False,True,64,5,5,67,8,0,2024-05-04 15:52:16,41.757622369,-87.634472427,1
13442119,680,2024-04-26 21:26:00,525,58,5,92,56,False,False,105,8,19,35,13,0,2024-05-04 15:52:16,41.813249446,-87.632279695,1
13442040,792,2024-04-26 21:23:00,394,58,5,92,56,False,False,155,12,34,20,13,0,2024-05-04 15:52:16,41.923790658,-87.703320761,1
13441812,737,2024-04-26 21:22:00,317,95,15,44,6,False,False,235,20,49,1,21,0,2024-05-04 15:52:16,42.009504327,-87.690653358,2
13442354,682,2024-04-26 21:20:00,681,18,2,29,56,False,True,76,6,15,65,9,0,2024-05-04 15:52:16,41.77903857,-87.662976541,1
13441830,690,2024-04-26 21:18:00,408,73,19,74,56,False,False,135,10,23,25,16,0,2024-05-04 15:52:16,41.871883199,-87.704289701,1
13443173,811,2024-04-26 21:17:00,778,30,3,37,44,False,False,65,5,5,67,5,0,2024-05-04 15:52:16,41.753887784,-87.6101488,2
13441792,675,2024-04-26 21:15:00,371,36,21,78,33,True,False,213,17,31,5,6,0,2024-05-04 15:52:16,41.935432921,-87.668504341,0
13441763,678,2024-04-26 21:04:00,704,18,2,29,44,False,True,95,7,22,63,9,0,2024-05-04 15:52:16,41.770351347,-87.731079072,2
13441745,684,2024-04-26 21:00:00,672,18,2,29,44,False,True,25,2,19,38,9,0,2024-05-04 15:52:16,41.780946398,-87.621995369,2
13441892,696,2024-04-26 21:00:00,177,33,21,60,56,False,False,253,21,28,23,6,0,2024-05-04 15:52:16,41.902726953,-87.771746441,0
13442329,829,2024-04-26 21:00:00,465,39,12,20,41,False,False,212,17,45,5,7,0,2024-05-04 15:52:16,41.951196567,-87.644904986,1
13441726,671,2024-04-26 21:00:00,883,57,5,89,44,False,False,47,3,9,53,13,0,2024-05-04 15:52:16,41.64965344,-87.545930115,2
13442008,774,2024-04-26 21:00:00,425,41,12,15,29,False,False,98,8,11,57,7,0,2024-05-04 15:52:16,41.832963025,-87.681458325,1
13443575,850,2024-04-26 21:00:00,339,15,2,80,44,False,False,245,21,29,17,9,0,2024-05-04 15:52:16,41.928052396,-87.778293445,2
13442024,784,2024-04-26 21:00:00,714,41,12,15,56,False,False,30,2,5,67,7,0,2024-05-04 15:52:16,41.770608792,-87.620247348,1
13441833,683,2024-04-26 20:55:00,54,28,20,80,6,False,True,57,4,8,52,8,0,2024-05-04 15:52:16,41.656738592,-87.61494361,2
13441768,663,2024-04-26 20:46:00,802,63,7,90,6,False,False,61,5,17,69,21,0,2024-05-04 15:52:16,41.740314899,-87.663177914,1
13441797,666,2024-04-26 20:45:00,808,36,21,78,54,True,False,67,5,5,42,6,0,2024-05-04 15:52:16,41.737750767,-87.604855911,0
13441720,660,2024-04-26 20:40:00,41,11,2,4,56,False,False,168,13,36,23,4,0,2024-05-04 15:52:16,41.88465094,-87.75522124,1
13441809,664,2024-04-26 20:32:00,419,36,21,78,53,False,False,154,12,34,20,6,0,2024-05-04 15:52:16,41.924703662,-87.708695141,0
13441839,669,2024-04-26 20:32:00,419,70,22,76,57,True,False,154,12,34,20,14,0,2024-05-04 15:52:16,41.924703662,-87.708695141,1
13441750,656,2024-04-26 20:32:00,708,34,21,0,56,False,True,94,7,15,64,6,0,2024-05-04 15:52:16,41.771521464,-87.683429837,0
13441693,658,2024-04-26 20:32:00,311,106,15,59,56,True,False,144,11,26,26,21,0,2024-05-04 15:52:16,41.881185122,-87.684853564,2
13441907,758,2024-04-26 20:30:00,864,57,5,89,45,False,False,226,19,18,72,13,0,2024-05-04 15:52:16,41.687062309,-87.714751847,1
13441783,697,2024-04-26 20:30:00,191,33,21,60,5,False,False,159,12,0,22,6,0,2024-05-04 15:52:16,41.905517707,-87.669858088,0
13444480,924,2024-04-26 20:30:00,405,94,15,83,44,False,False,119,9,21,28,8,0,2024-05-04 15:52:16,41.835906926,-87.724329345,2
13441836,712,2024-04-26 20:30:00,315,3,18,13,53,False,False,118,9,21,28,2,0,2024-05-04 15:52:16,41.847277465,-87.711210598,1
13441853,677,2024-04-26 20:27:00,682,67,22,95,56,True,False,85,7,12,62,14,0,2024-05-04 15:52:16,41.777362828,-87.755621207,1
13441684,655,2024-04-26 20:23:00,446,36,21,78,54,False,False,98,8,11,57,6,0,2024-05-04 15:52:16,41.829317892,-87.679396533,0
