id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,latitude,longitude,cluster
13430735,JH227126,4/14/2024 0:00,030XX N LINCOLN AVE,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,RESIDENCE,FALSE,FALSE,1933,19,32,6,11,2024,4/21/2024 15:40,41.93706747,-87.6650215,1
13429302,JH225193,4/14/2024 0:00,009XX E 80TH ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,FALSE,FALSE,624,6,8,44,17,2024,4/21/2024 15:40,41.74948908,-87.60240717,1
13430098,JH226395,4/14/2024 0:00,011XX W 112TH PL,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,2234,22,21,75,6,2024,4/21/2024 15:40,41.6894214,-87.65012325,1
13428429,JH224230,4/14/2024 0:00,027XX N NARRAGANSETT AVE,560,ASSAULT,SIMPLE,RESTAURANT,FALSE,FALSE,2512,25,36,19,08A,2024,4/21/2024 15:40,41.9301323,-87.7856768,1
13428850,JH224732,4/14/2024 0:00,017XX E 86TH PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,412,4,8,45,7,2024,4/21/2024 15:40,41.7378786,-87.58166887,2
13428796,JH224490,4/14/2024 0:00,0000X W 111TH ST,820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,522,5,9,49,6,2024,4/21/2024 15:40,41.69256617,-87.62470548,1
13428658,JH224473,4/14/2024 0:00,036XX W ROOSEVELT RD,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1133,11,24,29,15,2024,4/21/2024 15:40,41.86628731,-87.7158541,2
13429111,JH224935,4/14/2024 0:00,007XX N LARAMIE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESTAURANT,FALSE,TRUE,1524,15,37,25,26,2024,4/21/2024 15:40,41.89348356,-87.75554561,1
13431155,JH227704,4/14/2024 0:00,009XX N ASHLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,FALSE,FALSE,1213,12,1,24,26,2024,4/21/2024 15:40,41.89926572,-87.66738096,1
13428668,JH224479,4/14/2024 0:00,013XX E 47TH ST,1330,CRIMINAL TRESPASS,TO LAND,ATHLETIC CLUB,FALSE,FALSE,222,2,4,39,26,2024,4/21/2024 15:40,41.80966967,-87.59442767,1
13431715,JH228235,4/14/2024 0:00,002XX E HURON ST,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOSPITAL BUILDING / GROUNDS,FALSE,FALSE,1834,18,2,8,2,2024,4/21/2024 15:40,41.89500328,-87.62152816,1
13428596,JH224360,4/14/2024 0:00,023XX E 93RD ST,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOSPITAL BUILDING / GROUNDS,FALSE,FALSE,413,4,7,48,2,2024,4/21/2024 15:40,41.72621915,-87.56729444,1
13428915,JH224552,4/14/2024 0:00,082XX S MARYLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,631,6,8,44,08B,2024,4/21/2024 15:40,41.74487094,-87.60378605,0
13429869,JH225330,4/14/2024 0:00,074XX S COLFAX AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,334,3,7,43,08B,2024,4/21/2024 15:40,41.76001321,-87.56206921,1
13429357,JH225293,4/14/2024 0:00,039XX W ADAMS ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,1122,11,28,26,15,2024,4/21/2024 15:40,41.87799728,-87.72412083,2
13428676,JH224478,4/14/2024 0:00,043XX W LE MOYNE ST,917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",STREET,FALSE,FALSE,2534,25,36,23,7,2024,4/21/2024 15:40,41.90764047,-87.73558748,2
13428693,JH224570,4/14/2024 0:00,025XX W MARQUETTE RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,832,8,16,66,14,2024,4/21/2024 15:40,41.77193522,-87.68623375,2
